FID,Shape *,AWS_ID,AWS__Locat,Latitude,Longitude,Monsoon
0,Point,10001,Moulali (Malkajgiri),17.454636,78.55968,643
1,Point,10006,Jubileehills,17.429745,78.40413,770.4
2,Point,10009,Viratnagar DMRL,17.336317,78.51628,673.3
3,Point,10012,Musheerabad,17.424212,78.50107,792.7
4,Point,10013,Bandlaguda,17.365685,78.572,597.2
5,Point,10014,Madhapur,17.4531,78.3747,1039.9
6,Point,10153,Pashamylaram,17.53337,78.19473,544.4
7,Point,10534,Kandikal Gate,17.331907,78.47795,354.5
8,Point,10535,Maitrivanam,17.436794,78.44608,424.3
9,Point,10924,Asmanghad,17.363827,78.51595,422.1
10,Point,10932,Tirumalagiri,17.47133,78.50146,837.9
11,Point,10935,BHEL Factory,17.494,78.28343,597.7
12,Point,10976,Malkajgiri,17.455627,78.529465,769.1
13,Point,10995,Balanagar,17.470497,78.4334,770
14,Point,10998,Qutballapur,17.500448,78.45005,665
15,Point,11191,West Maredpally,17.454077,78.51219,852.4
16,Point,11192,Mondamarket,17.433496,78.49795,900.9
17,Point,11194,Narayanaguda,17.396914,78.48905,500.2
18,Point,11195,Srinagarcolony,17.430462,78.44195,776.4
19,Point,11196,Asifnagar,17.395454,78.428925,788.8
20,Point,11197,Amberpet,17.395014,78.511215,670.8
21,Point,11198,Chandulal Baradari (Opp. Zoo Park),17.345076,78.44931,629.9
22,Point,11199,Golkonda,17.374846,78.39555,585.2
23,Point,11200,Nampally,17.385736,78.46863,716.6
24,Point,11201,Qutballapur (GHMC office),17.499475,78.453545,947.7
25,Point,11202,GHMC Office: Kukatpally,17.50672,78.42137,642.3
26,Point,11203,Kapra (GHMC Office),17.469929,78.56661,744.4
27,Point,11204,L.B.Nagar (GHMC Office),17.367014,78.53533,728.7
28,Point,11206,Sardarmahal (GHMC Office),17.360765,78.47597,772.2
29,Point,11513,Rajendranagar (ARS),17.3244,78.3993,740.7
30,Point,11780,Shapur Nagar,17.525246,78.44452,756.2
31,Point,11925,Bollaram,17.5185,78.509605,939.8
32,Point,12007,Begumpet (IMD Office),17.4482,78.46503,828
33,Point,12542,Ganaanka Bhavan,17.407976,78.46022,871.3
34,Point,30011,Kothabasthi Comm Hall: Alwal,17.49628,78.507256,908
35,Point,30012,Telecomcolony: Venkatapuram,17.491573,78.4984,898.5
36,Point,30014,Amberpet Swimming Pool,17.393057,78.51972,524.4
37,Point,30015,Malakpet Millath Comm Hall,17.38106,78.50033,348
38,Point,30016,Karwan Panipura Comm Hall,17.3732,78.44626,659.9
39,Point,30017,Gudimalkapur SBI Colony,17.383303,78.43956,853.7
40,Point,30018,Ziaguda Ranganath Comm Hall,17.369156,78.45109,619.7
41,Point,30019,Football Ground Vijayanagar Colony,17.39327,78.45216,906.5
42,Point,30021,Chandulal Baradari Sports Complex: Doodbowli,17.352516,78.461525,589.4
43,Point,30022,Bandi Adda Community Hall: Gansibazar,17.366512,78.463104,551.2
44,Point,30023,Kishanbagh Govt High School,17.360172,78.440414,571
45,Point,30024,Setwin Training Center: Suleman Nagar,17.353971,78.43286,540.6
46,Point,30025,Ferozguda Comm Hall: Balanagar,17.464579,78.462425,669.3
47,Point,30026,Mothinagar Ward Office: Moosapet,17.45625,78.42234,802.7
48,Point,30027,Bhagath Singh Nagar Park: Fateh Nagar,17.457764,78.45098,647.8
49,Point,30028,Old Bowenpally Bus stop,17.476995,78.47946,738.1
50,Point,30029,Laithbagh Tanaji Nagar Comm Hall,17.341896,78.489296,668.7
51,Point,30030,Barkas Ward Office,17.315153,78.47857,562
52,Point,30031,OWISI Commnuity Hall: Kanchanbagh,17.32707,78.49423,542.2
53,Point,30032,Indiranagar Comm Hall: Chandrayanagutta,17.323479,78.47543,540.1
54,Point,30033,Balashetty Water Tank Building(HMWS): Dabeerpura,17.369099,78.484436,581.9
55,Point,30034,Library Building: Rein Bazar,17.357998,78.493484,658.9
56,Point,30035,Kihlwath Community Hallkalipahatak Community Hall,17.35022,78.4767,725
57,Point,30036,GHMC Welfare Office: Shaikpet,17.404531,78.39681,445
58,Point,30037,Lungerhouse Haridsaspura Comm Hall,17.378,78.41603,562.6
59,Point,30038,Pedda Amberpet Hanuman Temple,17.31688,78.64165,467.6
60,Point,30039,Thorrur Gram Panchayat,17.350945,78.64874,431.6
61,Point,30040,Kalavancha,17.291004,78.61088,509.9
62,Point,30041,Lingojiguda Ward Office,17.34681,78.53438,658.3
63,Point,30042,Prashanth Nagar Comm Hall: Vanasthalipuram,17.335426,78.56772,625.9
64,Point,30043,South Hasthinapuram South Comm Hall,17.324724,78.55497,707.2
65,Point,30044,Vaidehinagar,17.321095,78.57218,713
66,Point,30045,Kavadiguda Dumping Yard,17.415833,78.48,659.8
67,Point,30046,Veerannagudaa Comm Hall: Kachiguda,17.390278,78.498055,328
